Date,Close,Open,High,Low,Change...,y,Volume,tr,atr,trueHigh,trueLow,DIp,DIn,DX,ADX,macd,signal,sar,vClose,dn,mavg,up,pctB,rsi,fastK,fastD,slowD,williamsAD,aroonUp,aroonDn,oscillator,cci,chaikinAD,cmf,emv,maEMV,tdi,di,TRIX,signal,vhf.close,roc
2000-06-23,778.94,772.18,778.94,768.29,-1.286050317,-1,261847,13.95,31.91861021,782.24,768.29,25.26235399,25.28217626,0.039217455,12.44113726,1.180003206,1.259273605,841.2498738,0.551800018,-666.2730266,-768.407,-870.5409734,-0.534185491,51.866435,0.300070522,0.355788346,0.417595141,-423.32,55,10,45,11.71046983,-809522.6254,0.064140825,-5.700265804,-6.873275358,-1124.74,-1405.47,0.009872038,-0.205777119,0.324342791,-0.004227578
2000-06-26,791.55,782.28,794.89,779.39,0.42878784,1,286734,15.95,30.7779952,794.89,778.94,28.02898333,24.34628365,7.031371646,12.05472543,1.218487961,1.251116476,837.3958788,0.553133156,-682.8252982,-774.3971667,-865.9690351,-0.577604801,54.24941013,0.411230606,0.346820639,0.376588125,-410.71,50,5,45,27.87922001,-646361.7299,0.127124918,7.31121876,-3.720589217,-1396.93,-1205.28,0.025807491,-0.183721442,0.327413181,0.016059027
2000-06-27,809.87,799.58,810.7,795.55,1.01446529,1,465833,19.15,29.94742411,810.7,791.55,30.51975113,23.23421319,13.55348956,12.16178001,1.420836202,1.285060421,833.6960437,0.555397253,-710.4218724,-782.2435,-854.0651276,-0.661022759,57.53840257,0.57272567,0.428008933,0.376872639,-392.39,45,0,45,56.78443446,-231570.4976,0.153068915,5.198703183,-2.332240464,-1727.7,-966.04,0.042625318,-0.162164608,0.32813175,0.022880692
2000-06-28,818.73,810.44,822.04,806.87,0.070381666,1,500101,15.17,28.89189382,822.04,806.87,32.17875003,22.36279388,17.99720991,12.57859644,1.650940219,1.358236381,830.1442019,0.554283255,-731.5326752,-788.8338333,-846.1349915,-0.736000175,59.07087128,0.650828632,0.544928303,0.439919292,-380.53,40,0,40,79.20318986,50292.62369,0.142449206,3.436827761,-0.148433434,-2069.12,-749.56,0.060626371,-0.140946419,0.331205303,0.010880618
2000-06-29,818.9,828.59,830.8,807.93,1.204304227,1,338971,22.87,28.46175855,830.8,807.93,32.53029281,21.07922518,21.36013912,13.20584948,1.811743415,1.448937788,744.9,0.552826307,-741.915782,-793.3856667,-844.8555513,-0.750868382,59.10137156,0.652327221,0.625293841,0.532743692,-369.56,35,0,35,79.99396997,36508.4947,0.125200095,3.312722917,2.312873268,-2494.69,-476.51,0.078995617,-0.119999559,0.341670565,0.000207617
2000-06-30,821.22,815.03,823.36,812.26,-0.472585175,-1,462873,11.1,27.22163294,823.36,812.26,31.58278038,20.46524892,21.36013912,13.78829874,1.938401533,1.546830537,744.9,0.548712956,-752.2908322,-797.5425,-842.7941678,-0.736501412,59.54444259,0.844341188,0.715832347,0.62868483,-360.6,30,0,30,71.62956208,320904.3379,0.144382972,-0.372899262,2.74775379,-2946.51,-191.24,0.097345415,-0.099300038,0.365864468,0.002829063
2000-07-03,835.21,824.83,836.53,824.83,0.439589878,1,440790,15.31,26.37080201,836.53,821.22,33.8404109,19.61654472,26.60807376,14.70399696,2.152890463,1.668042522,748.336,0.548842135,-756.3723428,-801.026,-845.6796572,-0.848952381,62.20351652,0.985594238,0.827420882,0.722849024,-346.61,25,50,-25,106.2489985,662234.0303,0.195135781,3.416116518,2.189886301,-3187.88,43.55,0.116693495,-0.078729225,0.364362059,0.016892151
2000-07-04,818.53,840.2,841.52,818.47,0.597454532,1,439141,23.05,26.13360187,841.52,818.47,31.70837861,20.11903079,22.36142604,15.25095618,2.128615404,1.760157098,753.62764,0.548962331,-757.1236519,-802.8008333,-848.4780147,-0.755844377,57.36243067,0.762057545,0.863997657,0.802416962,-369.6,20,45,-25,78.14668071,225379.2307,0.116139458,-0.359548528,1.562694682,-3028.26,325.3,0.134268965,-0.058443683,0.356247655,-0.020173142
2000-07-05,830.4,818.4,830.4,810.1,-0.01588213,-1,531941,20.3,25.71691602,830.4,810.1,29.92050483,21.3094568,16.80861697,15.36221766,2.201742331,1.848474145,760.6590288,0.545669348,-756.9530179,-803.3453333,-849.7376488,-0.718656903,59.76236652,0.884909957,0.87752058,0.85631304,-349.3,15,40,-25,66.38330732,757320.2307,0.12182874,-3.718899276,1.391552919,-2862.46,626.34,0.151288581,-0.038469182,0.364950316,0.014397464
2000-07-06,837.63,822.76,840.91,818.24,-0.920038536,-1,696036,22.67,25.49927916,840.91,818.24,30.96454883,19.9561982,21.61859609,15.80910184,2.303368594,1.939453035,767.1279065,0.539359904,-756.3838635,-804.3211667,-852.2584699,-0.791410149,61.19510196,0.959739184,0.868902229,0.870140155,-329.91,10,35,-25,88.04374429,1251944.843,0.243996213,3.037166899,2.362378775,-2654.11,918.42,0.168120966,-0.018793929,0.391787888,0.008668963
2000-07-07,841.74,841.5,851.62,837.84,0.462017836,1,569846,13.99,24.67718779,851.62,837.63,32.8107422,19.14806279,26.29521486,16.55810991,2.394953538,2.030553135,773.079274,0.533215642,-754.9842689,-805.447,-855.9097311,-0.879352569,62.02293579,0.885964912,0.910204684,0.885542498,-325.8,5,30,-25,115.6863308,1004653.183,0.15541998,3.664777852,1.957218674,-2468.61,1198.48,0.184671962,0.000583774,0.316681352,0.004894702
2000-07-10,851.47,847.6,856.83,847.14,0.696176967,1,532553,15.09,23.99238867,856.83,841.74,32.8878101,18.2878135,28.52920115,17.41318786,2.531929375,2.130828383,780.9333466,0.532556296,-754.1091735,-805.8241667,-857.5391598,-0.944640557,63.98192834,0.93946239,0.928388829,0.902498581,-316.07,0,25,-25,136.8557184,948045.3817,0.139197331,1.320074246,1.526259903,-2271,1606.8,0.20149381,0.019718064,0.258612114,0.01149309
2000-07-11,836.86,856.17,863.53,836.86,0.551986564,1,849974,26.67,24.18364662,863.53,836.86,30.29709901,19.88357159,20.75206907,17.65167937,2.466704257,2.198003558,790.040945,0.53190412,-752.9332503,-807.444,-861.9547497,-0.851361889,59.05590168,0.719970601,0.848465968,0.895686494,-342.74,100,20,80,107.0272052,98071.38175,0.074574003,-0.561656004,1.081983929,-2080.36,1986.85,0.216231905,0.038433668,0.258879061,-0.017307475
2000-07-12,839.76,841.15,846.8,830.06,0.512630548,1,466957,16.74,23.65195757,846.8,830.06,28.76540625,20.93198144,15.76224661,17.51671989,2.414778209,2.241358488,800.3294127,0.523528383,-752.6397435,-808.8426667,-865.0455899,-0.767162853,59.71884111,0.750419992,0.803284327,0.860046375,-333.04,95,15,80,79.7011252,172271.2396,0.04036932,-4.217649591,0.245275873,-1913.86,2281.1,0.229162831,0.05659835,0.222065587,0.003459344
2000-07-13,845.75,840.45,849.03,833.05,0.082166333,1,477914,15.98,23.1039606,849.03,833.05,28.03369335,19.89783409,16.9739203,17.47794849,2.403456707,2.273778132,809.1774949,0.45111072,-754.7421988,-811.702,-868.6618012,-0.771314149,61.11917476,0.788685524,0.753025372,0.801591889,-320.34,90,10,80,82.20781224,453995.2621,0.111866786,0.872705131,0.383676361,-1772.5,2463.98,0.240871288,0.074148153,0.230708283,0.007107671
